Id used for finding text block,Contents of text block. Supports markdown formatting.
loc,text
intro,"
I'm a data scientist with a Master's degree in Machine Learning and 3 years' 
professional experience.

Within data science my main interest is in the application of classical and modern machine learning techniques to business data. I am particularly interested in the field of natural language processing. I have also published research in the field of uncertainty estimation in machine learning.

Outside of my career my main hobbies are sports, music and learning languages."
academic_articles_aside,"I have recently started publishing research in academic journals in collaboration with my alma mater Royal Holloway University. 

I have also started giving talks on various topics in machine learning."
data_science_writing_aside,I have recently started a website where I make blog posts about topics in data science
