Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,description_4,,in_resume
education,"MSc (part-time), Machine Learning",Royal Holloway University,"London, UK",2016,2018,Grade: Distinction,"Selected techniques covered: deep learning, standard classification and regression algorithms, clustering, kernel methods, Bayesian methods, real-time machine learning",Thesis: Predictive Maintenance with Conformal and Probabilistic Prediction: A Commercial Case Study,Won award for best thesis,,TRUE
education,"MSci, Chemistry",Imperial College,"London, UK",2009,2013,Grade: Upper second (2:1),Thesis: Computational chemical physics: heat transfer in ionic liquids,Won award for best thesis presentation,,,TRUE
industry_positions,Data Scientist,Centrica ,"London, UK",2017,Current,Data collection / cleaning,Exploratory data analysis,Modelling,Deployment,Teaching: Taught five 3-day courses around the country to colleagues on R language and statistical programming,TRUE
industry_positions,Business Analyst,ExxonMobil,"London, UK",2013,2017,"Provided analytical support for company's gas production projects in Kazakhstan & North Sea, mainly cashflow modelling",Provided ad hoc analytical support to company's gas traders,Various other projects e.g. analysing gas market liquidity and investigating price patterns,,,TRUE
academic_articles,[Journal article: Multi-level conformal clustering: A distribution-free technique for clustering and anomaly detection](https://www.sciencedirect.com/science/article/abs/pii/S0925231219316169),"Neurocomputing, Vol 397",,2019,2019,This paper was developed from my MSc thesis project. ,"We introduced a novel technique which combines clustering and anomaly detection, and outlined its advantages over classical clutering techniques.",,,,TRUE
academic_articles,[Poster abstract: Conformal Anomaly Detection based on Association Rules](http://proceedings.mlr.press/v105/balinsky19a.html),"Proceedings of Machine Learning Research, Vol 105",,2019,2019,In this commercial application we developed a new data cleaning technique. ,It combines a rule-based machine learning technique called association rule mining with the conformal prediction framework. This allowed us to automatically identify likely errors in Centrica's SAP database which could then be manually corrected.,,,,TRUE
academic_articles,[Talk: Machine Learning: Progress & Prospects](https://www.youtube.com/watch?v=n5iz5GPdO5Y),"Odessa University, Ukraine","Odessa, Ukraine",2018,2018,Guest lecture at Data Science meetup,,,,,TRUE
data_science_writings,[#TidyTuesday: Analysing cocktail recipes](www.jamesgammerman.com),www.jamesgammerman.com/ExampleBlogPost,,,2020,Blah blah blah,Blah blah blah,,,,TRUE
